NRGSTREAM Data Extract for stream : AB - Market Comments,
04/19/2017 04:05,Calgary Energy Centre on line.
04/17/2017 11:51,Battle River 5 offline.
04/14/2017 17:41,Sundance 4 Online
04/14/2017 11:35,Sundance 4 off line
04/14/2017 10:34,Frequency excursion to 59.830 Hz due to loss of generation external to Alberta.
04/11/2017 22:46,Sundance 6 online.
04/10/2017 16:29,Calgary Energy Centre off line.
04/09/2017 10:23,Sundance 6 offline
04/09/2017 4:08,Keephills 2 Off Line
04/08/2017 5:22,Supply Surplus is no longer in effect. Restatements to increase export interchange transactions within the T-2 timeframe are no longer permitted. Supply Surplus is no longer in effect. Restatements to reduce zero dollar block volumes within the T-2 timefr
04/08/2017 4:40,-Supply Surplus in effect. Restatements to increase export interchange transactions are now permitted within the T-2 timeframe. -Supply Surplus in effect. Restatements to reduce zero dollar block volume are now permitted within the T-2 timeframe.
04/08/2017 2:50,Supply Surplus is no longer in effect. Restatements to increase export interchange transactions within the T-2 timeframe are no longer permitted. Supply Surplus is no longer in effect. Restatements to reduce zero dollar block volumes within the T-2 timefr
04/08/2017 0:39,-Supply Surplus in effect. Restatements to increase export interchange transactions are now permitted within the T-2 timeframe. -Supply Surplus in effect. Restatements to reduce zero dollar block volume are now permitted within the T-2 timeframe.
04/07/2017 0:43,Sheerness 2 on line.
04/07/2017 0:00,WECC frequency excursion to 59.704 Hz.    Disturbance external to Alberta.
04/06/2017 9:36,AESO  planned system maintenance today at 9:10am MDT is complete.
04/06/2017 9:10,The AESO is doing planned system maintenance today at 9:10am MDT for approximately 30 minutes. Updates to AESO Reports  as well as submissions and restatements in ETS  will be delayed.
04/06/2017 3:21,Sheerness 2 off line.
04/05/2017 23:03,Battle River 5 on line.
04/05/2017 11:04,Battle River 5 offline
04/05/2017 0:10,Sundance 2 on line
04/04/2017 15:29,Calgary Energy Center off line.
04/04/2017 8:31,The AESO is doing planned system maintenance today at 9:10am MDT for approximately 30 minutes. Updates to AESO Reports  as well as submissions and restatements in ETS  will be delayed.
04/03/2017 14:49,Sundance 6 Online.
04/03/2017 14:23,The AESO is doing emergency system maintenance today at 14:10 pm MDT for approx 30 mins. ADaMS will be unavailable and dispatches will be done via phone. Users may also be logged out of ETS  in which case restatements will be delayed.
04/03/2017 4:05,Calgary Energy Center on line.
03/29/2017 20:13,Sundance 3 online
03/29/2017 16:33,Sundance 3 offline
03/28/2017 08:35,The AESO is doing planned system maintenance today at 9:10am MDT for approximately 30 minutes. Updates to AESO Reports  as well as submissions and restatements in ETS  will all be delayed.
03/28/2017 07:33,Battle River 5 On Line
03/27/2017 23:45,Keephills 2 on line.
03/27/2017 21:24,Calgary Energy Centre off line.
03/27/2017 09:32,Genesee #3 on line.
03/27/2017 02:04,Calgary Energy Center on line.
03/26/2017 18:02,Genesee #3 off line.
03/23/2017 22:54,Sundance 4 on line.
03/23/2017 17:00,Battle River 5 off line
03/23/2017 14:35,Keephills unit 2 off line
03/23/2017 08:57,Sundance unit 4 off line
03/22/2017 02:18,Keephills 1 on line
03/21/2017 08:00,Keephills 1 offline
03/19/2017 11:06,Path 83 back in service.
03/19/2017 11:01,Sundance 3 on line.
03/19/2017 10:31,Path 1 back in service.
03/17/2017 21:32,Calgary Energy Center off line.
03/17/2017 12:50,Keephills 2 on line.
03/17/2017 09:47,Path 1 out of service.
03/17/2017 08:59,Path 83 out of service.
03/17/2017 06:52,Sheerness 1 on line.
03/17/2017 02:05,Calgary Energy Centre on line
03/16/2017 21:42,Sundance 3 off line
03/16/2017 16:13,Sheerness 1 off line.
03/15/2017 20:44,Keephills 2 off line
03/15/2017 00:21,Calgary Energy Centre off line.
03/14/2017 17:32,The AESO is doing planned system maintenance today at 6:00pm MDT for approximately 40 minutes. Ancillary Service restatements will be delayed for the duration of the outage and should be reported to System Controllers by telephone.
03/14/2017 15:02,The AESO is doing planned system maintenance today at 3:10pm MDT for approximately 40 minutes. ETS will be unavailable for the duration of the outage. Energy and Ancillary Service restatements should be reported to System Controllers by telephone.
03/14/2017 12:26,The AESO is doing planned system maintenance today at 1:10pm MDT for approximately 40 minutes. ETS will be unavailable for the duration of the outage. Energy and Ancillary Service restatements should be reported to System Controllers by telephone.
03/14/2017 05:18,Keephills 3 Online.
03/11/2017 7:11,On March 12  2017  the AESO will switch from Mountain Standard Time (MST) to Mountain Daylight Time (MDT) for all daily operations. The hour endings (HE) in ETS will be numbered as 01  03 through to 24 (removing HE 02). Participants are responsible for en
03/07/2017 22:52,Keephills 3 off line.
03/07/2017 21:04,Keephills 3 on line.
03/07/2017 13:02,Keephills 3 off line.
03/05/2017 3:45,All Grande Prairie area load restored.
03/05/2017 2:47,Approximately 200 MW of firm load lost in the Grande Prairie area as a result of multiple unplanned transmission line outages.
03/04/2017 17:17,Shepard Plant On Line
03/04/2017 9:26,Shepard Plant off line
03/04/2017 8:17,Sheerness #2 online.
03/03/2017 14:19,Sheerness 2 off line.
02/28/2017 10:21,The AESO is doing planned system maintenance today at 10:25am MST for approximately 2 hours. ADaMS users may be required to refresh their logon multiple times.
02/28/2017 08:42,Keephills 1 online
02/28/2017 07:28,Keephills 1 offline
02/28/2017 07:18,Keephills 1 on line.
02/26/2017 21:53,Keep Hills #1 Unit off line
02/26/2017 17:19,Keephills 2 on line
02/26/2017 15:17,Keephills 2 off line
02/26/2017 15:09,Keephills 2 on line
02/26/2017 12:44,Sundance 6 off line
02/25/2017 10:09,HR Milner off line
02/24/2017 11:00,Keephills 2 off line
02/24/2017 09:37,The AESO is doing planned system maintenance today at 10:10am MST for approx 40 minutes. Submissions and restatements in ETS will be delayed. Restatements should be done via telephone during this period. Updates to AESO Reports may also be delayed.
02/24/2017 04:54,Keephills 2 online
02/22/2017 09:33,The AESO is doing system maintenance today at 10:10am MST for approx 40 mins. ADaMS will be unavailable for the duration of the outage. System Controllers will dispatch via phone. Restatements from ETS will be delayed and should be done via telephone.
02/21/2017 22:24,Keephills 2 offline.
02/21/2017 06:05,Sundance #5 online.
02/21/2017 05:04,Calgary Energy Centre on line.
02/21/2017 04:13,Sundance #5 off line
02/21/2017 03:41,Sundance #5 on line
02/19/2017 06:32,Sheerness 1 on line.
02/18/2017 22:03,Sheerness 1 off line
02/18/2017 13:46,Genesee 2 on line.
02/18/2017 12:06,Sheerness 1 on line.
02/17/2017 18:24,Sundance 5 off line
02/17/2017 04:06,Sheerness #1 unit off line.
02/17/2017 02:53,Genesee #2 off line.
02/14/2017 12:44,The AESO is doing planned system maintenance today starting at 1:00pm MST for approximately 2 hours. ADaMS will remain fully functional  however  users will be logged out of ADaMS and will be required to log back in.
02/14/2017 08:26,System maintenance postponed until further notice.
02/14/2017 07:31,The AESO is doing planned system maintenance today starting at 8:00am MST for approximately 2 hours. ADaMS will remain fully functional  however  users will be logged out of ADaMS and will be required to log back in.
02/13/2017 18:27,Calgary Energy Center off line.
02/13/2017 03:04,Calgary Energy Centre on line.
02/11/2017 10:01,Sundance 6 on line.
02/11/2017 0:28,Calgary Energy Centre off line.
02/09/2017 1:12,Sundance 6 offline
02/08/2017 16:14,Battle River 5 on line.
02/08/2017 7:10,Battle River 5 off line
02/08/2017 3:21,Sundance 6 on line
02/07/2017 20:25,Sundance 6 offline
02/06/2017 3:19,Genesee 2 online.
02/05/2017 12:37,Sundance 4 on line.
02/04/2017 9:47,Genesee 2 off line.
02/02/2017 21:49,Sundance 4 offline
02/02/2017 14:44,Interchange Transfer Capability tool is now functioning and the AESO is resuming normal interchange operations.
02/02/2017 14:05,Interchange Transfer Capability tool is unavailable. Manual posting process is in effect.ATCs for HE16 & HE17:                    Import         ExportBC              750              950MATL          295              300SPC           153              153
02/02/2017 14:03,The AESO is doing system maintenance today at 2:10pm MST for approx 40 minutes. Users should log out of ADaMS. Dispatching will be done via phone. ETS unavailable from 2:10pm to 2:25pm.
02/01/2017 20:20,Sundance 5 on line
02/01/2017 16:49,The AESO is doing planned system maintenance today at 5:00pm MST for approximately 40 minutes. There is no outage to ETS or ADaMS  however Ancillary Service restatements in ETS will be delayed.
02/01/2017 12:43,The AESO is doing planned system maintenance today at 1:10pm MST for approximately 40 minutes. ETS will be unavailable for the duration of the outage. Restatements should be reported via telephone during this time. There is no impact to ADaMS.
01/31/2017 11:07,Sheerness 2 on line.
01/31/2017 09:33,The AESO is doing planned maintenance today at 10:10am MDT for approx 40 minutes. Users should log out of ADaMS for the duration of the outage. System Controllers will dispatch via phone. Updates to AESO Reports may be delayed.
01/30/2017 23:45,Sundance 1 on line
01/30/2017 15:38,Sheerness 2 Offline
01/30/2017 10:33,Sundance 2 Online
01/30/2017 01:52,Sundance 2 off line.
01/29/2017 22:45,Sundance 2 on line.
01/29/2017 03:18,HR Milner online.
01/27/2017 21:31,Sundance 2 offline
01/26/2017 15:37,Sundance 5 off line.
01/26/2017 14:13,Sundance 4 on line.
01/26/2017 04:36,Sundance 4 offline.
01/26/2017 04:34,Sundance 4 offline.
01/25/2017 07:46,Battle River 5 on line.
01/24/2017 21:25,Sundance #1 Off Line
01/24/2017 20:04,Battle River 5 Off line
01/24/2017 01:08,HR Milner Off Line
01/23/2017 13:32,HR Milner online.
01/23/2017 04:21,HR Milner offline.
01/23/2017 00:42,Sundance #1 online.
01/22/2017 22:29,Sundance #1 offline.
01/22/2017 21:57,Sundance #1 online.
01/20/2017 14:00,Sundance 6 On Line
01/20/2017 13:49,Sundance 1 Off Line
01/20/2017 13:41,Sundance 6 On Line
01/20/2017 01:01,Frequency excursion to 59.857 Hz due to loss of generation external to Alberta.
01/19/2017 12:03,Calgary Energy Centre on line.
01/18/2017 22:18,Calgary Energy Center Offline
01/18/2017 13:40,Path 83 TTC values returned to normal: Import (S-N)=310MW and Export (N-S)=315Mw
01/18/2017 12:32,Sundance 4 on line
01/18/2017 12:04,Sundance 4 on line
01/18/2017 08:17,Path 83 in service
01/18/2017 08:12,Path 83 in service
01/18/2017 07:51,Sundance 6 Offline.
01/18/2017 07:45,Path 83 out of service
01/18/2017 04:43,Keephills 2 Online
01/16/2017 23:48,Sundance 5 online.
01/15/2017 22:09,Sheerness 2 On line
01/15/2017 19:59,Keephills 2 Off line
01/15/2017 19:32,HR Milner Offline
01/15/2017 18:24,Path 1 return to service.
01/15/2017 00:48,Sheerness 2 off line.
01/14/2017 10:57,Sundance 6 on line
01/14/2017 08:08,Sundance 6 off line
01/13/2017 08:43,Path 1 out of service
01/13/2017 07:22,MATL out of service.
01/13/2017 07:20,MATL PATH 83 Out of Service
01/12/2017 23:24,Sundance 5 off line.
01/12/2017 17:36,Sundance 4 off line
01/12/2017 10:22,ADaMS users may now log back in
01/12/2017 9:44,The AESO is doing system maintenance today at 10:10am MST for approx 30 minutes. Users should log out of ADaMS. Dispatching will be done via phone. ETS unavailable from 10:10am to 10:15am.
01/11/2017 22:55,Battle River #3 offline.
01/10/2017 23:17,BR3 online.
01/10/2017 22:43,BR3 offline.
01/10/2017 13:08,The AESO will be doing planned system maintenance today at 13:50 MDT. There will be no outage to ETS or ADaMS  but submissions and restatements in ETS will be delayed for approximately 30 minutes. If ETS access is lost users can log back in immediately.
01/09/2017 15:12,Battle River 3 Online
01/09/2017 13:53,Path 2 Back in service.
01/09/2017 13:20,Path 2 Out of service.
01/08/2017 4:19,Keephills 1 online.
01/07/2017 22:20,Keephills 1 offline.
01/05/2017 1:26,Sheerness 1 unit on line
01/03/2017 22:00,Sheerness #1 off line
01/02/2017 6:01,Sundance 5 Online
01/01/2017 6:09,Calgary Energy Center on line.
